type,name,damage,element_buildup,element_type,affinity_mod,defense_mod,special,skills,level_1_decoration_slots,level_2_decoration_slots,level_3_decoration_slots,sharpness_base_red,sharpness_base_orange,sharpness_base_yellow,sharpness_base_green,sharpness_base_blue,sharpness_base_white,sharpness_base_purple,sharpness_max_red,sharpness_max_orange,sharpness_max_yellow,sharpness_max_green,sharpness_max_blue,sharpness_max_white,sharpness_max_purple
Great Sword,Hope Blade I,90,0,N/A,0,0,,,0,0,0,12,12,10,6,0,0,0,12,12,10,16,0,0,0
Great Sword,Hope Blade II,100,0,N/A,0,0,,Speed Sharpening +1,0,0,0,10,10,12,8,0,0,0,10,10,12,18,0,0,0
Great Sword,Hope Blade III,130,0,N/A,0,0,,"Speed Sharpening +1,Critical Eye +1",0,0,0,10,12,16,12,0,0,0,10,12,16,22,0,0,0
Great Sword,Hope Blade IV,160,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +1",2,1,0,10,12,18,14,6,0,0,10,12,18,14,16,0,0
Great Sword,Hope Blade V,190,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +1",3,2,0,10,12,16,14,12,6,0,10,12,16,14,12,16,0
Great Sword,Valkyrie Blade I,160,21,Poison,+15,0,,"Critical Status +2,Poison Duration Up +1",2,1,0,10,14,8,24,4,0,0,10,14,8,24,14,0,0
Great Sword,Valkyrie Blade II,190,27,Poison,+15,0,,"Critical Status +3,Poison Duration Up +1",3,2,0,8,16,8,24,10,4,0,8,16,8,24,10,14,0
Great Sword,Sieglinde,210,30,Poison,+15,0,,"Critical Status +3,Poison Duration Up +1",3,2,1,8,16,6,24,8,8,0,8,16,6,24,8,18,0
Great Sword,Chicken Decapitator I,180,45,Fire,0,0,,"Focus +1,Charge Master +1",2,1,0,20,20,14,6,0,0,0,20,20,14,10,6,0,0
Great Sword,Chicken Decapitator II,210,55,Fire,0,0,,"Focus +2,Charge Master +2",2,1,0,20,24,10,14,2,0,0,20,24,10,14,6,6,0
Great Sword,Rooster Decapitator,220,60,Fire,0,0,,"Focus +2,Charge Master +2",3,2,1,22,24,4,16,4,0,0,22,24,4,16,6,8,0
Great Sword,Nihil Great Sword I,160,20,Water,0,0,,Critical Draw +2,1,0,0,4,22,14,10,0,0,0,4,22,14,20,0,0,0
Great Sword,Nihil Great Sword II,190,26,Water,0,0,,Critical Draw +2,2,1,1,4,22,14,14,6,0,0,4,22,14,14,16,0,0
Great Sword,Prinvrilo's Dissolution,220,30,Water,0,0,,Critical Draw +3,3,2,1,4,22,10,10,14,10,0,4,22,10,10,14,20,0
Great Sword,Quematrice Espada I,100,14,Fire,+5,0,,Punishing Draw +1,0,0,0,10,14,14,2,0,0,0,10,14,14,12,0,0,0
Great Sword,Quematrice Espada II,140,18,Fire,+5,0,,Punishing Draw +2,0,0,0,10,16,16,8,0,0,0,10,16,16,18,0,0,0
Great Sword,Quematrice Espada III,170,23,Fire,+5,0,,Punishing Draw +2,2,1,0,14,16,16,12,2,0,0,14,16,16,12,12,0,0
Great Sword,Quematrice Espada IV,210,27,Fire,+5,0,,Punishing Draw +3,3,2,0,14,16,20,16,4,0,0,14,16,20,16,14,0,0
Great Sword,Firetrail Blaisdell,240,30,Fire,+5,0,,Punishing Draw +3,3,2,1,12,14,20,16,8,0,0,12,14,20,16,18,0,0
Great Sword,Buster Sword I,120,0,N/A,0,0,,Critical Draw +1,0,0,0,10,8,18,4,0,0,0,10,8,18,14,0,0,0
Great Sword,Buster Sword II,160,0,N/A,0,0,,Critical Draw +2,1,0,0,10,12,18,10,0,0,0,10,12,18,20,0,0,0
Great Sword,Buster Sword III,190,0,N/A,0,0,,Critical Draw +3,2,1,0,10,14,18,12,6,0,0,10,14,18,12,16,0,0
Great Sword,Ravager Blade,220,0,N/A,0,0,,Critical Draw +3,3,2,1,10,12,18,14,10,6,0,10,12,18,14,10,16,0
Great Sword,Jin Dhavaar I,190,55,Ice,0,0,,Focus +2,3,2,0,8,8,10,20,20,4,0,8,8,10,20,20,14,0
Great Sword,Precipice Metallam,210,60,Ice,0,0,,Focus +3,3,2,1,8,8,10,16,22,6,0,8,8,10,16,22,16,0
Great Sword,Albirath Wing I,160,28,Fire,+15,0,,"Master's Touch +1,Critical Element +1",1,0,0,10,20,12,8,0,0,0,10,20,12,18,0,0,0
Great Sword,Albirath Wing II,180,34,Fire,+15,0,,"Master's Touch +1,Critical Element +1",2,1,0,10,24,10,8,8,0,0,10,24,10,8,12,6,0
Great Sword,Whitefire Rathguard,210,40,Fire,+15,0,,"Master's Touch +1,Critical Element +1",3,2,1,10,30,10,8,8,4,0,10,30,10,8,8,14,0
Great Sword,Red Wing I,180,44,Fire,+10,0,,Critical Boost +3,2,1,0,20,14,10,10,6,0,0,20,14,10,10,16,0,0
Great Sword,Rathalos Firesword,200,50,Fire,+10,0,,Critical Boost +3,3,2,1,20,14,10,10,10,6,0,20,14,10,10,10,16,0
Great Sword,Immane Blade I,120,21,Sleep,+10,0,,"Offensive Guard +1,Guard +1",0,0,0,14,14,6,16,0,0,0,14,14,6,26,0,0,0
Great Sword,Immane Blade II,150,31,Sleep,+15,0,,"Offensive Guard +1,Guard +1",2,1,0,14,14,6,20,6,0,0,14,14,6,20,16,0,0
Great Sword,Immane Blade III,180,37,Sleep,+15,0,,"Offensive Guard +2,Guard +1",3,2,0,14,14,6,18,12,6,0,14,14,6,18,12,16,0
Great Sword,Immolator Blade,200,40,Sleep,+15,0,,"Offensive Guard +2,Guard +1",3,2,1,14,14,6,12,8,16,0,14,14,6,12,8,26,0
Great Sword,Schattenstolz I,180,37,Dragon,+20,0,,Critical Element +2,3,2,1,10,14,16,14,12,4,0,10,14,16,14,12,14,0
Great Sword,Düsterstolz,210,40,Dragon,+20,0,,Critical Element +3,3,2,1,10,10,16,12,12,10,0,10,10,16,12,12,20,0
Great Sword,Bone Blade I,110,0,N/A,0,0,,Focus +1,0,0,0,10,20,10,0,0,0,0,10,20,18,2,0,0,0
